BTCSS,BTCPC,ETHSS,ETHPC
0.537619901,0.0407,0.746859592,0.0554
0.568571938,-0.039,0.726526347,-0.0206
0.603335673,0.0075,0.749810947,-0.0054
0.571583304,0.0013,0.653130693,0.0777
0.517007228,0.0261,0.688433621,0.0598
0.596530146,0.0491,0.739139264,0.0205
0.575626426,0.0177,0.756846009,-0.0401
0.575778342,0.0349,0.758748541,0.0176
0.545562363,-0.0092,0.74342439,-0.0323
0.586592509,0.0686,0.73769093,0.0873
0.556225673,-0.034,0.726518304,-0.0375
0.563048092,-0.0562,0.719198429,-0.0307
0.557542972,0.0197,0.724874747,0.007
0.571488611,0.0356,0.693854741,0.0103
0.56614047,-0.0213,0.708057007,-0.0259
0.501237682,-0.0017,0.625051854,-0.0153
0.579118556,0.0332,0.738352296,0.077
0.585939319,0.02,0.753643352,0.0134
0.622643465,-0.0001,0.713334078,0.0418
0.590463684,-0.0008,0.711150472,0.0261
0.56,0.0044,0.77518857,0.0847
0.581539427,-0.0325,0.741997328,-0.059
0.576830109,0.02,0.704405078,0.0335
0.567944068,0.0136,0.722675675,0.0147
0.602878518,-0.0169,0.706482509,0.0024
0.580036094,-0.0353,0.729105105,-0.0711
0.564966009,0.038,0.736339193,0.0604
0.542071335,0.0007,0.767420595,-0.0062
0.563760918,0.028,0.759385597,0.0323
0.584853425,-0.029,0.736286701,0.034
0.541455998,-0.0218,0.72381066,-0.0362
0.512652178,-0.0639,0.7184804,-0.0433
0.519851112,-0.01,0.683569204,-0.035
0.550357978,0.015,0.741428361,-0.0342
0.566493308,-0.0471,0.741887426,0.0794
0.537658618,-0.0388,0.702124386,0.0123
0.501495283,-0.0113,0.706638247,0.0171
0.504042168,-0.0206,0.70894046,-0.0141
0.523580628,-0.0225,0.725762983,-0.0639
0.534338968,0.1033,0.724041496,0.0454
0.552818454,0.0188,0.708946334,0.0935
0.56536676,-0.0035,0.728002562,0.0522
0.561393532,-0.0234,0.706260161,0.0305
0.589339844,0.0782,0.720283523,0.0039
0.569899356,0.0013,0.755364488,0.0057
0.489077826,-0.0207,0.716910871,0.0623
0.560457052,0.0101,0.65581613,0.0021
0.505259565,-0.0676,0.771363017,0.1623
0.57984603,0.0767,0.695266146,-0.0517
0.625617805,-0.0179,0.750027936,0.0827
0.52907712,0.017,0.663331407,-0.0091
0.60966804,0.0252,0.740617,-0.0018
0.562665538,-0.0097,0.697462234,0.1199
0.549025248,-0.0407,0.710110011,0.0067
0.52667977,0.0151,0.79079387,0.006
0.583102069,-0.1332,0.688451559,0.0548
0.485078841,0.0115,0.705918276,-0.0918
0.517190222,0.0033,0.674613256,-0.0187
0.514285721,-0.0626,0.679651858,0.098
0.573739081,-0.0046,0.722580961,-0.1081
0.509392529,-0.0646,0.660024034,-0.0139
0.558778374,-0.0144,0.63809068,-0.085
0.530003282,-0.1377,0.692979701,0.0298
0.466508769,0.1022,0.676304496,-0.272
0.457736281,-0.0853,0.740293109,0.1315
0.554554806,0.0062,0.704189412,-0.127
0.573055167,-0.0737,0.722777502,-0.0555
0.58866876,0.1132,0.697711144,-0.0811
0.488363704,-0.0078,0.694717781,0.2531
0.533985918,0.0232,0.678279997,0.0238
0.585150445,-0.2763,0.70248664,0.0673
0.56647854,0.2553,0.748124014,-0.0527
0.504332519,-0.0303,0.648726063,-0.1157
,,0.74926418,-0.058